Start date,End date,Min SYM-H,Classification
1998-08-01 12:15:00,1998-08-11 12:15:00,-168,Moderate
1998-08-22 09:00:00,1998-09-01 09:00:00,-171,Moderate
1998-09-20 06:50:00,1998-09-30 06:50:00,-213,Moderate
1998-11-03 06:20:00,1998-11-13 06:20:00,-179,Moderate
1999-09-17 23:20:00,1999-09-27 23:20:00,-160,Moderate
1999-10-17 07:15:00,1999-10-27 07:15:00,-218,Moderate
2000-02-07 11:35:00,2000-02-17 11:35:00,-164,Moderate
2000-05-19 03:45:00,2000-05-29 03:45:00,-159,Moderate
2000-09-13 00:25:00,2000-09-23 00:25:00,-196,Moderate
2000-09-30 13:00:00,2000-10-10 13:00:00,-183,Moderate
2000-11-01 21:20:00,2000-11-11 21:20:00,-174,Moderate
2001-03-15 13:15:00,2001-03-25 13:15:00,-165,Moderate
2001-09-28 14:20:00,2001-10-08 14:20:00,-187,Moderate
2002-04-15 06:00:00,2002-04-25 06:00:00,-183,Moderate
2002-09-02 23:55:00,2002-09-12 23:55:00,-167,Moderate
2002-09-26 12:45:00,2002-10-06 12:45:00,-153,Moderate
2003-05-25 01:55:00,2003-06-04 01:55:00,-162,Moderate
2003-06-13 09:10:00,2003-06-23 09:10:00,-162,Moderate
2003-08-13 14:30:00,2003-08-23 14:30:00,-138,Moderate
2004-01-17 13:25:00,2004-01-27 13:25:00,-137,Moderate
2004-03-30 00:40:00,2004-04-09 00:40:00,-148,Moderate
2004-07-22 13:35:00,2004-08-01 13:35:00,-208,Moderate
2005-08-19 12:35:00,2005-08-29 12:35:00,-174,Moderate
2005-09-06 10:00:00,2005-09-16 10:00:00,-135,Moderate
2006-12-10 00:50:00,2006-12-20 00:50:00,-206,Moderate
2011-10-20 01:15:00,2011-10-30 01:15:00,-160,Moderate
2012-03-04 07:55:00,2012-03-14 07:55:00,-149,Moderate
2012-09-26 03:55:00,2012-10-06 03:55:00,-138,Moderate
2013-03-12 20:25:00,2013-03-22 20:25:00,-131,Moderate
2013-05-27 07:45:00,2013-06-06 07:45:00,-134,Moderate
2015-01-02 11:00:00,2015-01-12 11:00:00,-134,Moderate
2015-06-18 04:25:00,2015-06-28 04:25:00,-207,Moderate
2015-12-15 22:50:00,2015-12-25 22:50:00,-169,Moderate
2017-05-23 07:10:00,2017-06-02 07:10:00,-141,Moderate
2017-09-03 01:05:00,2017-09-13 01:05:00,-144,Moderate
2018-08-21 07:10:00,2018-08-31 07:10:00,-205,Moderate
1981-02-28 17:45:00,1981-03-10 17:45:00,-235,Intense
1981-04-08 07:05:00,1981-04-18 07:05:00,-338,Intense
1981-07-20 20:05:00,1981-07-30 20:05:00,-255,Intense
1982-02-25 09:35:00,1982-03-07 09:35:00,-247,Intense
1982-09-01 11:40:00,1982-09-11 11:40:00,-260,Intense
1986-02-04 00:35:00,1986-02-14 00:35:00,-375,Intense
1989-09-14 05:20:00,1989-09-24 05:20:00,-288,Intense
1989-10-16 11:30:00,1989-10-26 11:30:00,-334,Intense
1989-11-12 21:05:00,1989-11-22 21:05:00,-319,Intense
1990-04-05 16:35:00,1990-04-15 16:35:00,-309,Intense
1991-03-20 03:40:00,1991-03-30 03:40:00,-325,Intense
1991-07-08 15:40:00,1991-07-18 15:40:00,-237,Intense
1992-05-05 14:15:00,1992-05-15 14:15:00,-352,Intense
1994-04-12 07:45:00,1994-04-22 07:45:00,-281,Intense
