Start date,End date,Max ASY-H,Classification
2002-09-26 11:20:00,2002-10-06 11:20:00,199,Moderate
2003-07-07 05:40:00,2003-07-17 05:40:00,172,Moderate
2003-09-12 13:35:00,2003-09-22 13:35:00,171,Moderate
2005-05-10 08:45:00,2005-05-20 08:45:00,250,Moderate
2005-05-25 15:05:00,2005-06-04 15:05:00,177,Moderate
2005-09-06 06:35:00,2005-09-16 06:35:00,266,Moderate
2006-12-10 00:05:00,2006-12-20 00:05:00,267,Moderate
2011-07-31 21:50:00,2011-08-10 21:50:00,183,Moderate
2012-03-04 09:55:00,2012-03-14 09:55:00,229,Moderate
2012-06-12 13:10:00,2012-06-22 13:10:00,184,Moderate
2013-03-12 12:20:00,2013-03-22 12:20:00,171,Moderate
2013-09-27 05:50:00,2013-10-07 05:50:00,171,Moderate
2015-01-02 10:40:00,2015-01-12 10:40:00,212,Moderate
2015-03-12 13:55:00,2015-03-22 13:55:00,250,Moderate
2015-08-10 12:00:00,2015-08-20 12:00:00,204,Moderate
2015-09-04 09:30:00,2015-09-14 09:30:00,189,Moderate
2015-10-02 19:00:00,2015-10-12 19:00:00,216,Moderate
2016-12-16 16:15:00,2016-12-26 16:15:00,171,Moderate
2017-07-11 13:25:00,2017-07-21 13:25:00,175,Moderate
2017-09-03 00:35:00,2017-09-13 00:35:00,230,Moderate
2018-08-21 04:55:00,2018-08-31 04:55:00,197,Moderate
2021-10-30 09:10:00,2021-11-09 09:10:00,216,Moderate
1982-09-01 12:10:00,1982-09-11 12:10:00,376,Intense
1982-11-19 18:10:00,1982-11-29 18:10:00,294,Intense
1983-01-30 17:10:00,1983-02-09 17:10:00,306,Intense
1986-02-03 20:50:00,1986-02-13 20:50:00,498,Intense
1988-03-29 19:30:00,1988-04-08 19:30:00,414,Intense
1989-09-14 03:50:00,1989-09-24 03:50:00,335,Intense
1989-10-16 12:15:00,1989-10-26 12:15:00,511,Intense
1991-05-31 17:00:00,1991-06-10 17:00:00,516,Intense
1991-07-08 16:20:00,1991-07-18 16:20:00,297,Intense
1992-05-05 10:10:00,1992-05-15 10:10:00,366,Intense
1998-04-29 05:45:00,1998-05-09 05:45:00,415,Intense
1998-09-20 06:30:00,1998-09-30 06:30:00,395,Intense
2000-07-10 21:15:00,2000-07-20 21:15:00,380,Intense
2001-04-06 16:10:00,2001-04-16 16:10:00,422,Intense
2001-11-01 02:45:00,2001-11-11 02:45:00,329,Intense
2001-11-19 07:10:00,2001-11-29 07:10:00,330,Intense
2003-05-24 22:25:00,2003-06-03 22:25:00,377,Intense
2004-07-21 23:20:00,2004-07-31 23:20:00,294,Intense
2004-11-03 04:05:00,2004-11-13 04:05:00,339,Intense
2005-01-16 17:40:00,2005-01-26 17:40:00,392,Intense
2015-06-17 19:45:00,2015-06-27 19:45:00,348,Intense
1982-07-09 00:00:00,1982-07-19 00:00:00,604,SuperIntense
1989-03-08 22:05:00,1989-03-18 22:05:00,721,SuperIntense
1991-03-19 04:30:00,1991-03-29 04:30:00,682,SuperIntense
1991-11-04 00:15:00,1991-11-14 00:15:00,578,SuperIntense
2000-04-02 00:25:00,2000-04-12 00:25:00,612,SuperIntense
2003-10-24 20:05:00,2003-11-03 20:05:00,828,SuperIntense
